,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
7030,de Bordeaux / Marie-Anne,45.53340913,-73.57065707,,,,,,,,,,,,208.0,64.0,,,,,1091.5,,,,74.0,,1627.0
6141,de Bordeaux / Rachel,45.532270000000004,-73.56828,441.0,,497.0,,,,,110.0,,,,2817.5,,,,502.5,1516.0,1895.0,430.5,2588.5,1388.25,940.0,162.0,1486.0
6100,Mackay / de Maisonneuve,45.496590000000005,-73.57851,,,,,,,,,2765.25,,,,,,,1598.0,,,,,,,,
6064,Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,,,,,,,927.5,1626.5,1351.5,1325.0,,,,,,,,,,,,,,
6730,35e avenue / Beaubien,45.570081,-73.573047,,,,,,,,,,,,,,,,,,1893.0,,,,,,
6396,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.55421376,-73.55155975,,,,,,,,,,,,1005.0,,,,1047.25,,,,,,870.3333333333334,,
6108,Logan / Fullum,45.52844869,-73.551085,,,,,,,,,,,,,,,,,,,,,,,406.0,
6114,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,,,,,,,,479.5,559.0,487.5,,555.0,512.0,,,,431.0,,542.0,,553.0,546.0,,485.5
6223,du Mont-Royal / du Parc,45.516999999999996,-73.589,,,,,,,731.0,,610.0,,,,,,,,,,,,,877.0,,
6233,Bernard / Jeanne-Mance,45.52428648,-73.60497326,,,,,,,,,,,,,954.0,,,,,,,,,,,
6043,Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295,,,,,,,,1100.6666666666667,1198.5,,,,,,,,,,,,,,,
6041,St-Jacques / Gauvin,45.500674,-73.561082,,,,,,,,,1157.0,,,,,,,,,,,,,,,
6397,Marché Maisonneuve,45.55321884,-73.53978217,1160.0,,,,,,,,,,943.0,,,,,,,,,,,,,
6007,de l'Hôtel-de-Ville / Ste-Catherine,45.51167258,-73.56204182,,,,,,,,,,940.0,,,,,,,,,,,,,,
6073,de Maisonneuve / Aylmer,45.50501,-73.57069,,,,1210.0,,,,897.6,1044.0,,,1102.0,1837.0,1200.0,,,1096.0,,,,,,,
6027,de Maisonneuve / Mansfield (ouest),45.50205386,-73.57346535,,,,,,,,1086.3333333333333,1015.0,,1032.0,,,,,,,,,,,,,
6107,St-Mathieu /Ste-Catherine,45.493718,-73.57918599999999,,,,,,,,,,,,,,,,,,,,,,,,
6137,Gauthier / Papineau,45.529692600000004,-73.56740087,1580.0,,,,,,,,,,,,,111.0,,,,,1251.0,149.75,,,,
6138,Gauthier / de Lorimier,45.53167355,-73.56541336,,,,,,,,,,108.0,,,88.0,,,,1367.0,125.0,,,496.5,96.0,,
6095,Chomedey / de Maisonneuve,45.49180028,-73.58400643,,,,,,,,,1958.2857142857142,,2059.0,,,,,,,,,,,,,
6005,de la Cathédrale / René-Lévesque,45.49923715,-73.56944203,,,,,,,,1986.0,,,,,,,,,,,,,,,,
6072,Metcalfe / de Maisonneuve,45.50171495,-73.57413054,,,,,,,,,1110.3333333333333,,,,,,,,,,,,,,,
6012,Métro St-Laurent (de Maisonneuve / St-Laurent),45.510659999999994,-73.56497,,,,,,,1080.75,998.3,832.2857142857143,906.5,,,970.0,,,,,900.0,927.8,850.0,770.0,,,
6710,Georges-Baril / Fleury,45.55837563,-73.65884408,,,,,,,,,,,,,,,,,,,,,,,,
7005,Marquette / Fleury,45.56735206,-73.65378745,,,,,,,,,,,,,,,,,,,,,,,,
6191,St-Zotique / Clark,45.531401,-73.612674,,,,,,,,,,,,,,,,,,,,,,,,
6262,de la Roche /  de Bellechasse,45.53715923,-73.59747648,,,,,,,,1303.0,,,,,,,,,,,,,,,,
6061,McGill College / Ste-Catherine,45.50192926,-73.57145101,,,,,,,,,1334.5,,,,,,,,,,,,,,,
4000,Jeanne-d'Arc / Ontario,45.54945734,-73.54164898,,,,,,,,,1149.0,,,,,1275.0,,1034.0,928.0,1104.0,953.0,,,1105.0,,
6700,de la Salle / Ste-Catherine,45.54996329,-73.53443384,,,,,,,,,,,,,,,,,,,,,1016.0,,,1327.0
7083,Parc de Bullion (de Bullion / Prince-Arthur),45.51560426,-73.57213497,,,,,,,,,821.0,,,,,,,,,,,,,,819.0,
7043,Ernest-Gendreau / du Mont-Royal,45.54971373,-73.56384829,,,,,,,,,,,,,,,,,,924.0,772.0,,,,,
6361,Molson / Beaubien,45.5496859,-73.59115452,,,,,,,,,,,,,,,,,,,,,971.0,,,
6278,Louis-Hébert / St-Zotique,45.55001,-73.59576,,,,,,,,,,,,,,,,1609.0,,,,,,,,
6248,St-Dominique / Rachel,45.518593,-73.58156600000001,451.0,,,,,,,562.5,690.6,528.0,,,920.0,,550.0,759.0,577.0,678.5714285714286,680.7142857142857,635.2,721.1428571428571,706.4,1057.0,
6184,Métro Mont-Royal (Rivard / du Mont-Royal),45.524673,-73.58255,,,,,,401.8333333333333,358.1666666666667,420.25,604.4,562.5,,491.3333333333333,466.3333333333333,580.5,541.0,432.0,483.0,524.3333333333334,530.0,564.4,486.0,454.0,445.5,563.0
7019,Casgrain / St-Viateur,45.52751293,-73.59879076,,,,,,,,,987.0,,,,,,,,,,,,,,,
7026,Maguire / Henri-Julien,45.527041100000005,-73.59347057,,,,,,,,896.4,890.5384615384615,840.0,801.0,,,,,,,,,,,1367.0,1195.0,685.0
6218,Prince-Arthur / St-Urbain,45.5125874,-73.57373893,,,,,,,,,,1196.0,,,,,,,,,,,,1148.0,,
6015,BAnQ (Berri / de Maisonneuve),45.515299,-73.561273,,,,,652.5,,642.5,691.0,692.6,701.0,713.0,795.5,687.5,690.1111111111111,,,784.5,745.75,711.5,,,,,
6152,Chabot / du Mont-Royal,45.53418509,-73.57358873,,132.0,,,,,,211.0,183.0,176.5,212.0,189.0,244.33333333333334,,180.0,218.33333333333334,274.14285714285717,186.66666666666666,200.66666666666666,213.33333333333334,148.0,392.0,,
6197,de Bordeaux / Masson,45.5389844,-73.58244538,,,,,,,,425.0,394.0,382.0,,,,,,,462.0,373.1818181818182,376.0,387.75,559.0,419.3333333333333,473.0,379.5
6335,du Rosaire / St-Hubert,45.54467,-73.621581,,,,,,,,,,,,,,,,,,,,,,,,
6261,Louis Hémon / Rosemont,45.54459856,-73.58822286,,,,,,,,,,1860.0,,,,,1328.0,,751.5,666.0,,,,,,
6254,Boyer / Bélanger,45.54006,-73.60897,,,,,,,,,,,,,,,,,,,,,,,,
6280,Fairmount / St-Dominique,45.52450499,-73.5941425,,,,,,,,931.0,930.5,791.5,827.4,1023.0,,,,,,,825.5,,,,,
6227,de l'Esplanade / Laurier,45.52111622,-73.59478354,,,,,,,,,,1098.0,,,,,1161.0,,,929.0,,822.0,,,,
6060,Stanley / du Docteur-Penfield,45.50252519,-73.58033717,,,,,,,,,,,,,,,,,,,,,,,,
6159,Ann / William,45.49589439,-73.56009722,,,,,,,,,,,,,,,,,,,,,,,,
6748,Young / Wellington,45.49282531,-73.55797827,,,,,,,,,,,,,,,,,,1750.0,,,,,,
6129,de Bordeaux / Sherbrooke,45.52997069,-73.56305301,,,,,,,,121.0,143.0,207.5,,,169.0,212.33333333333334,,169.0,,,439.3333333333333,114.5,202.0,,,
6106,Papineau / René-Lévesque,45.52114,-73.54926,,,,,,,,,,,,,,,,,,,,,,821.0,,
6147,Calixa-Lavallée / Sherbrooke,45.52479,-73.56545,,,,,,,1315.0,,,386.0,,,,,,333.0,,345.0,,,,,,315.0
6154,Marquette / du Mont-Royal,45.53229,-73.57544,,,,,,,,896.3333333333334,220.0,209.0,321.0,341.6666666666667,246.33333333333334,286.0,312.0,,346.5,,326.5,334.0,293.0,279.0,,
6364,de Chambly / Rachel,45.54991069,-73.55826259,495.0,,,,,,,,,,,,,,,,,,621.0,,,,740.0,974.0
6163,Marquette / Laurier,45.53543,-73.5822,,,,,,,,,625.0,,357.0,,,,,826.8,738.0,551.5,550.0,,,,,
6272,de Bordeaux / St-Zotique,45.54653901,-73.5986647,,,,,,,,,,,,,,,,,,,,,,,,
6267,Chabot / Beaubien,45.54437555,-73.59564453,,,,,,,,,,694.0,791.0,,,,,,,785.0,,,,,,
6411,Clark / Prince-Arthur,45.51330257,-73.57296109,,,,,,,,939.0,924.25,,,,,,,,,,803.0,,,,,821.3333333333334
6153,Cartier / Marie-Anne,45.532674,-73.571776,,,,118.0,,,,,138.5,71.0,,,,,,,,,,,162.0,154.0,,
