,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
7030,de Bordeaux / Marie-Anne,45.53340913,-73.57065707,,,,,,,,,,,,,,,,,,,,,,,,
6141,de Bordeaux / Rachel,45.532270000000004,-73.56828,,,,,,,,,,,,,,,,,,,,,,,,
6100,Mackay / de Maisonneuve,45.496590000000005,-73.57851,,,,,,,,,,,,,,,,,,,,,,,,
6064,Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,,,,,,,,,,,,,,,,,,,,,,,,
6730,35e avenue / Beaubien,45.570081,-73.573047,,,,,,,94.0,,,,114.0,,,,4849.0,,1802.0,,2071.0,978.0,,705.0,,
6396,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.55421376,-73.55155975,,,,,,,558.0,632.3636363636364,788.7142857142857,,,,,787.0,804.0,,,723.0,,629.0,902.0,,,
6108,Logan / Fullum,45.52844869,-73.551085,,,,,,,,,,,,,,,,,,,,,,,,
6114,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,,,,,,,,,,,,,,,,,,,,,,,,
6223,du Mont-Royal / du Parc,45.516999999999996,-73.589,,,,,,,,,,,,,,,,,,,,,,,,
6233,Bernard / Jeanne-Mance,45.52428648,-73.60497326,,,,,,,,,,,,,,,,,,,,,,,,
6043,Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295,,,,,,,,,,2285.0,,,,,,,,,,,,,,
6041,St-Jacques / Gauvin,45.500674,-73.561082,,,,,,,,,,,,,,,,,,,,,,,,
6397,Marché Maisonneuve,45.55321884,-73.53978217,,,,,,,,,,,,,,,,,870.0,942.0,,,,,,
6007,de l'Hôtel-de-Ville / Ste-Catherine,45.51167258,-73.56204182,,,,,,,,,,,,,,,,,,,,,,,,
6073,de Maisonneuve / Aylmer,45.50501,-73.57069,,,,,,,,,,,,,,,,,,,,,,,,
6027,de Maisonneuve / Mansfield (ouest),45.50205386,-73.57346535,,,,,,,,,,,,,,,,,,,,,,,,
